[2, 11, 12, 32, 40, 45]
[13, 27, 29, 31, 37, 43]
[10, 20, 21, 31, 33, 42]
[17, 26, 31, 36, 41, 44]
[11, 12, 19, 21, 24, 42]
[1, 19, 29, 31, 32, 41]
[12, 21, 28, 33, 36, 40]
[1, 4, 15, 16, 23, 32]
[23, 24, 37, 40, 42, 43]
[13, 14, 19, 21, 34, 41]
[2, 11, 17, 23, 28, 43]
[6, 7, 10, 24, 31, 32]
[3, 8, 24, 38, 41, 42]
[8, 9, 15, 29, 30, 42]
[8, 15, 20, 22, 37, 45]
[11, 15, 19, 20, 25, 39]
[10, 15, 18, 38, 39, 40]
[6, 11, 27, 36, 37, 38]
[4, 5, 10, 13, 20, 40]
[12, 13, 15, 20, 24, 28]
[18, 23, 25, 35, 37, 39]
[9, 20, 23, 31, 33, 43]
[2, 8, 22, 24, 29, 37]
[1, 30, 31, 34, 36, 45]
[7, 20, 38, 39, 41, 42]
[13, 26, 27, 33, 37, 43]
[2, 18, 23, 26, 29, 43]
[5, 9, 13, 16, 34, 44]
[11, 26, 32, 33, 37, 39]
[6, 22, 23, 34, 37, 45]
[17, 19, 20, 37, 39, 45]
[5, 18, 27, 30, 33, 41]
[3, 8, 21, 24, 41, 42]
[3, 18, 27, 32, 33, 40]
[7, 9, 13, 16, 24, 32]
[3, 4, 12, 29, 41, 42]
[11, 14, 25, 29, 34, 43]
[10, 14, 20, 25, 29, 32]
[7, 10, 14, 19, 30, 37]
[3, 5, 7, 13, 27, 45]
[5, 7, 13, 23, 28, 44]
[9, 14, 27, 39, 40, 42]
[2, 5, 14, 21, 27, 44]
[15, 17, 31, 38, 39, 40]
[5, 10, 11, 18, 41, 42]
[6, 9, 24, 26, 33, 41]
[7, 12, 22, 32, 37, 42]
[8, 13, 18, 29, 35, 37]
[1, 6, 13, 38, 39, 45]
[7, 8, 13, 23, 24, 40]
[9, 11, 29, 39, 42, 43]
[5, 10, 27, 30, 33, 39]
[12, 13, 23, 33, 34, 45]
[11, 18, 20, 31, 34, 42]
[2, 3, 4, 16, 24, 38]
[11, 12, 16, 25, 37, 43]
[14, 21, 22, 29, 33, 36]
[11, 17, 22, 23, 25, 33]
[3, 4, 12, 15, 22, 25]
[3, 8, 9, 11, 29, 32]
[2, 30, 31, 33, 35, 38]
[4, 5, 18, 29, 34, 42]
[1, 2, 11, 16, 27, 34]
[8, 12, 13, 17, 19, 35]
[5, 9, 10, 21, 30, 35]
[6, 7, 17, 29, 38, 41]
[11, 18, 22, 25, 36, 39]
[21, 23, 24, 26, 27, 37]
[8, 9, 11, 13, 35, 38]
[5, 8, 12, 21, 24, 35]
